club,club_logo
Real Madrid CF,https://cdn.futbin.com/content/fifa18/img/clubs/243.png
FC Barcelona,https://cdn.futbin.com/content/fifa18/img/clubs/241.png
Paris Saint-Germain,https://cdn.futbin.com/content/fifa18/img/clubs/73.png
FC Bayern Munich,https://cdn.futbin.com/content/fifa18/img/clubs/21.png
Manchester United,https://cdn.futbin.com/content/fifa18/img/clubs/11.png
Chelsea,https://cdn.futbin.com/content/fifa18/img/clubs/5.png
Juventus,https://cdn.futbin.com/content/fifa18/img/clubs/45.png
Manchester City,https://cdn.futbin.com/content/fifa18/img/clubs/10.png
Arsenal,https://cdn.futbin.com/content/fifa18/img/clubs/1.png
Atlético Madrid,https://cdn.futbin.com/content/fifa18/img/clubs/240.png
Borussia Dortmund,https://cdn.futbin.com/content/fifa18/img/clubs/22.png
Milan,https://cdn.futbin.com/content/fifa18/img/clubs/47.png
Tottenham Hotspur,https://cdn.futbin.com/content/fifa18/img/clubs/18.png
Napoli,https://cdn.futbin.com/content/fifa18/img/clubs/48.png
Inter,https://cdn.futbin.com/content/fifa18/img/clubs/44.png
Liverpool,https://cdn.futbin.com/content/fifa18/img/clubs/9.png
Roma,https://cdn.futbin.com/content/fifa18/img/clubs/52.png
Beşiktaş JK,https://cdn.futbin.com/content/fifa18/img/clubs/327.png
AS Monaco,https://cdn.futbin.com/content/fifa18/img/clubs/69.png
Bayer 04 Leverkusen,https://cdn.futbin.com/content/fifa18/img/clubs/32.png
AS Saint-Étienne,https://cdn.futbin.com/content/fifa18/img/clubs/1819.png
Athletic Club de Bilbao,https://cdn.futbin.com/content/fifa18/img/clubs/448.png
1. FC Köln,https://cdn.futbin.com/content/fifa18/img/clubs/31.png
Villarreal CF,https://cdn.futbin.com/content/fifa18/img/clubs/483.png
FC Schalke 04,https://cdn.futbin.com/content/fifa18/img/clubs/34.png
Atalanta,https://cdn.futbin.com/content/fifa18/img/clubs/39.png
RB Leipzig,https://cdn.futbin.com/content/fifa18/img/clubs/112172.png
Real Sociedad,https://cdn.futbin.com/content/fifa18/img/clubs/457.png
Torino,https://cdn.futbin.com/content/fifa18/img/clubs/54.png
Sporting CP,https://cdn.futbin.com/content/fifa18/img/clubs/237.png
Leicester City,https://cdn.futbin.com/content/fifa18/img/clubs/95.png
Southampton,https://cdn.futbin.com/content/fifa18/img/clubs/17.png
FC Porto,https://cdn.futbin.com/content/fifa18/img/clubs/236.png
UD Las Palmas,https://cdn.futbin.com/content/fifa18/img/clubs/472.png
Olympique Lyonnais,https://cdn.futbin.com/content/fifa18/img/clubs/66.png
Lazio,https://cdn.futbin.com/content/fifa18/img/clubs/46.png
Genoa,https://cdn.futbin.com/content/fifa18/img/clubs/110556.png
Everton,https://cdn.futbin.com/content/fifa18/img/clubs/7.png
RC Celta de Vigo,https://cdn.futbin.com/content/fifa18/img/clubs/450.png
Valencia CF,https://cdn.futbin.com/content/fifa18/img/clubs/461.png
,
Sevilla FC,https://cdn.futbin.com/content/fifa18/img/clubs/481.png
Toronto FC,https://cdn.futbin.com/content/fifa18/img/clubs/111651.png
Borussia Mönchengladbach,https://cdn.futbin.com/content/fifa18/img/clubs/23.png
Olympique de Marseille,https://cdn.futbin.com/content/fifa18/img/clubs/219.png
SL Benfica,https://cdn.futbin.com/content/fifa18/img/clubs/234.png
RCD Espanyol,https://cdn.futbin.com/content/fifa18/img/clubs/452.png
OGC Nice,https://cdn.futbin.com/content/fifa18/img/clubs/72.png
Spartak Moscow,https://cdn.futbin.com/content/fifa18/img/clubs/100767.png
Swansea City,https://cdn.futbin.com/content/fifa18/img/clubs/1960.png
Sassuolo,https://cdn.futbin.com/content/fifa18/img/clubs/111974.png
TSG 1899 Hoffenheim,https://cdn.futbin.com/content/fifa18/img/clubs/10029.png
Stoke City,https://cdn.futbin.com/content/fifa18/img/clubs/1806.png
Shakhtar Donetsk,https://cdn.futbin.com/content/fifa18/img/clubs/101059.png
West Ham United,https://cdn.futbin.com/content/fifa18/img/clubs/19.png
SV Werder Bremen,https://cdn.futbin.com/content/fifa18/img/clubs/38.png
Watford,https://cdn.futbin.com/content/fifa18/img/clubs/1795.png
Galatasaray SK,https://cdn.futbin.com/content/fifa18/img/clubs/325.png
Lokomotiv Moscow,https://cdn.futbin.com/content/fifa18/img/clubs/100765.png
Zenit St. Petersburg,https://cdn.futbin.com/content/fifa18/img/clubs/100769.png
Bournemouth,https://cdn.futbin.com/content/fifa18/img/clubs/1943.png
Sampdoria,https://cdn.futbin.com/content/fifa18/img/clubs/1837.png
Antalyaspor,https://cdn.futbin.com/content/fifa18/img/clubs/741.png
Girondins de Bordeaux,https://cdn.futbin.com/content/fifa18/img/clubs/59.png
VfL Wolfsburg,https://cdn.futbin.com/content/fifa18/img/clubs/175.png
New York City Football Club,https://cdn.futbin.com/content/fifa18/img/clubs/112828.png
Hertha BSC Berlin,https://cdn.futbin.com/content/fifa18/img/clubs/166.png
SD Eibar,https://cdn.futbin.com/content/fifa18/img/clubs/467.png
Ajax,https://cdn.futbin.com/content/fifa18/img/clubs/245.png
RC Deportivo de La Coruña,https://cdn.futbin.com/content/fifa18/img/clubs/242.png
Crystal Palace,https://cdn.futbin.com/content/fifa18/img/clubs/1799.png
West Bromwich Albion,https://cdn.futbin.com/content/fifa18/img/clubs/109.png
CSKA Moscow,https://cdn.futbin.com/content/fifa18/img/clubs/315.png
Eintracht Frankfurt,https://cdn.futbin.com/content/fifa18/img/clubs/1824.png
Real Betis Balompié,https://cdn.futbin.com/content/fifa18/img/clubs/449.png
Fenerbahçe SK,https://cdn.futbin.com/content/fifa18/img/clubs/326.png
Fiorentina,https://cdn.futbin.com/content/fifa18/img/clubs/110374.png
Burnley,https://cdn.futbin.com/content/fifa18/img/clubs/1796.png
Tigres U.A.N.L.,https://cdn.futbin.com/content/fifa18/img/clubs/1970.png
