ID,name,full_name,club,club_logo,special,age,league,birth_date,height_cm,weight_kg,body_type,real_face,flag,nationality,photo,eur_value,eur_wage,eur_release_clause,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves,weak_foot,work_rate_att,work_rate_def,preferred_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,rs,RW,RF,ram,rcm,RM,rdm,rcb,RB,rwb,ST,LW,CF,CAM,CM,LM,CDM,CB,LB,lwb,ls,LF,lam,lcm,ldm,lcb,GK,1_on_1_rush_trait,acrobatic_clearance_trait,argues_with_officials_trait,avoids_using_weaker_foot_trait,backs_into_player_trait,bicycle_kicks_trait,cautious_with_crosses_trait,chip_shot_trait,chipped_penalty_trait,comes_for_crosses_trait,corner_specialist_trait,diver_trait,dives_into_tackles_trait,diving_header_trait,driven_pass_trait,early_crosser_trait,fan's_favourite_trait,fancy_flicks_trait,finesse_shot_trait,flair_trait,flair_passes_trait,gk_flat_kick_trait,gk_long_throw_trait,gk_up_for_corners_trait,giant_throw_in_trait,inflexible_trait,injury_free_trait,injury_prone_trait,leadership_trait,long_passer_trait,long_shot_taker_trait,long_throw_in_trait,one_club_player_trait,outside_foot_shot_trait,playmaker_trait,power_free_kick_trait,power_header_trait,puncher_trait,rushes_out_of_goal_trait,saves_with_feet_trait,second_wind_trait,selfish_trait,skilled_dribbling_trait,stutter_penalty_trait,swerve_pass_trait,takes_finesse_free_kicks_trait,target_forward_trait,team_player_trait,technical_dribbler_trait,tries_to_beat_defensive_line_trait,poacher_speciality,speedster_speciality,aerial_threat_speciality,dribbler_speciality,playmaker_speciality,engine_speciality,distance_shooter_speciality,crosser_speciality,free_kick_specialist_speciality,tackling_speciality,tactician_speciality,acrobat_speciality,strength_speciality,clinical_finisher_speciality,prefers_rs,prefers_rw,prefers_rf,prefers_ram,prefers_rcm,prefers_rm,prefers_rdm,prefers_rcb,prefers_rb,prefers_rwb,prefers_st,prefers_lw,prefers_cf,prefers_cam,prefers_cm,prefers_lm,prefers_cdm,prefers_cb,prefers_lb,prefers_lwb,prefers_ls,prefers_lf,prefers_lam,prefers_lcm,prefers_ldm,prefers_lcb,prefers_gk,add_pos
167495,M. Neuer,Manuel Neuer,FC Bayern Munich,https://cdn.futbin.com/content/fifa18/img/clubs/21.png,1493,31,German Bundesliga,1986-03-27,193.0,92.0,Normal,True,https://cdn.sofifa.org/flags/21@3x.png,Germany,https://cdn.futbin.com/content/fifa18/img/players/167495.png,61000000.0,230000.0,100700000.0,92,92,91,90,95,89,60,91,5,1,4,Medium,Medium,Right,15,13,25,55,11,30,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,91,90,95,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
193080,De Gea,David De Gea Quintana,Manchester United,https://cdn.futbin.com/content/fifa18/img/clubs/11.png,1458,26,English Premier League,1990-11-07,193.0,76.0,Lean,True,https://cdn.sofifa.org/flags/45@3x.png,Spain,https://cdn.futbin.com/content/fifa18/img/players/193080.png,64500000.0,215000.0,124200000.0,90,92,90,85,87,90,58,86,4,1,3,Medium,Medium,Right,17,13,21,50,13,18,21,19,51,42,57,58,60,88,43,31,67,40,64,12,38,30,12,68,40,64,13,21,13,90,85,87,86,90,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
192119,T. Courtois,Thibaut Courtois,Chelsea,https://cdn.futbin.com/content/fifa18/img/clubs/5.png,1282,25,English Premier League,1992-05-11,199.0,94.0,Courtois,True,https://cdn.sofifa.org/flags/7@3x.png,Belgium,https://cdn.futbin.com/content/fifa18/img/players/192119.png,59000000.0,190000.0,113600000.0,89,92,85,91,69,88,49,86,4,1,3,Medium,Medium,Left,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,85,91,69,86,88,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
1179,G. Buffon,Gianluigi Buffon,Juventus,https://cdn.futbin.com/content/fifa18/img/clubs/45.png,1335,39,Italian Serie A,1978-01-28,191.0,94.0,Lean,True,https://cdn.sofifa.org/flags/27@3x.png,Italy,https://cdn.futbin.com/content/fifa18/img/players/1179.png,4500000.0,110000.0,7400000.0,89,89,89,88,74,84,46,90,4,1,2,Medium,Medium,Right,13,15,13,37,17,26,20,13,35,28,49,43,55,80,49,39,75,39,69,13,38,28,12,50,22,70,10,11,11,89,88,74,90,84,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
200389,J. Oblak,Jan Oblak,Atlético Madrid,https://cdn.futbin.com/content/fifa18/img/clubs/240.png,1290,24,Spanish Primera División,1993-01-07,189.0,82.0,Normal,False,https://cdn.sofifa.org/flags/44@3x.png,Slovenia,https://cdn.futbin.com/content/fifa18/img/players/200389.png,57000000.0,82000.0,121100000.0,88,93,84,90,77,84,52,87,3,1,3,Medium,Medium,Right,13,11,15,29,13,12,13,14,26,16,43,60,67,84,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,84,90,77,87,84,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
167948,H. Lloris,Hugo Lloris,Tottenham Hotspur,https://cdn.futbin.com/content/fifa18/img/clubs/18.png,1318,30,English Premier League,1986-12-26,188.0,82.0,Lean,True,https://cdn.sofifa.org/flags/18@3x.png,France,https://cdn.futbin.com/content/fifa18/img/players/167948.png,38000000.0,165000.0,72200000.0,88,88,88,86,68,90,64,82,4,1,1,Medium,Medium,Left,13,10,10,50,11,10,11,10,50,34,65,63,55,85,54,23,74,41,43,14,31,27,10,30,40,61,12,10,18,88,86,68,82,90,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
162835,S. Handanovič,Samir Handanovič,Inter,https://cdn.futbin.com/content/fifa18/img/clubs/44.png,1264,32,Italian Serie A,1984-07-14,193.0,92.0,Normal,True,https://cdn.sofifa.org/flags/44@3x.png,Slovenia,https://cdn.futbin.com/content/fifa18/img/players/162835.png,29000000.0,91000.0,49300000.0,87,87,87,86,69,87,56,87,3,1,2,Medium,Medium,Right,12,10,10,36,12,18,12,14,34,24,54,57,42,83,36,22,78,41,71,19,25,22,12,41,23,62,17,10,13,87,86,69,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
48940,P. Čech,Petr Čech,Arsenal,https://cdn.futbin.com/content/fifa18/img/clubs/1.png,1206,35,English Premier League,1982-05-20,196.0,90.0,Normal,True,https://cdn.sofifa.org/flags/12@3x.png,Czech Republic,https://cdn.futbin.com/content/fifa18/img/players/48940.png,10500000.0,92000.0,19400000.0,86,86,82,87,76,81,42,83,4,1,3,Medium,Medium,Left,19,12,19,35,17,12,13,19,33,22,40,44,49,84,34,21,51,32,65,11,17,23,13,53,23,70,11,13,12,82,87,76,83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
193041,K. Navas,Keylor Navas,Real Madrid CF,https://cdn.futbin.com/content/fifa18/img/clubs/243.png,1302,30,Spanish Primera División,1986-12-15,185.0,78.0,Normal,True,https://cdn.sofifa.org/flags/72@3x.png,Costa Rica,https://cdn.futbin.com/content/fifa18/img/players/193041.png,24500000.0,165000.0,50200000.0,85,85,89,78,72,88,53,80,3,1,3,Medium,Medium,Right,11,15,11,30,11,16,11,15,37,19,54,53,60,82,61,21,74,39,75,13,32,20,16,54,25,49,12,14,14,89,78,72,80,88,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
192593,D. Subašić,Danijel Subašić,AS Monaco,https://cdn.futbin.com/content/fifa18/img/clubs/69.png,1305,32,French Ligue 1,1984-10-27,191.0,84.0,Lean,False,https://cdn.sofifa.org/flags/10@3x.png,Croatia,https://cdn.futbin.com/content/fifa18/img/players/192593.png,22000000.0,46000.0,41800000.0,85,85,84,79,79,87,53,85,3,1,2,Medium,Medium,Right,11,10,13,24,13,11,24,66,26,19,51,54,42,82,37,24,75,32,80,14,31,20,15,52,23,65,15,14,13,84,79,79,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,GK
