nationality,flag
Portugal,https://cdn.sofifa.org/flags/38@3x.png
Argentina,https://cdn.sofifa.org/flags/52@3x.png
Brazil,https://cdn.sofifa.org/flags/54@3x.png
Uruguay,https://cdn.sofifa.org/flags/60@3x.png
Germany,https://cdn.sofifa.org/flags/21@3x.png
Poland,https://cdn.sofifa.org/flags/37@3x.png
Spain,https://cdn.sofifa.org/flags/45@3x.png
Belgium,https://cdn.sofifa.org/flags/7@3x.png
Chile,https://cdn.sofifa.org/flags/55@3x.png
Croatia,https://cdn.sofifa.org/flags/10@3x.png
Wales,https://cdn.sofifa.org/flags/50@3x.png
Italy,https://cdn.sofifa.org/flags/27@3x.png
Slovenia,https://cdn.sofifa.org/flags/44@3x.png
France,https://cdn.sofifa.org/flags/18@3x.png
Gabon,https://cdn.sofifa.org/flags/115@3x.png
Sweden,https://cdn.sofifa.org/flags/46@3x.png
Netherlands,https://cdn.sofifa.org/flags/34@3x.png
Denmark,https://cdn.sofifa.org/flags/13@3x.png
Slovakia,https://cdn.sofifa.org/flags/43@3x.png
England,https://cdn.sofifa.org/flags/14@3x.png
Colombia,https://cdn.sofifa.org/flags/56@3x.png
Austria,https://cdn.sofifa.org/flags/4@3x.png
Greece,https://cdn.sofifa.org/flags/22@3x.png
Czech Republic,https://cdn.sofifa.org/flags/12@3x.png
Costa Rica,https://cdn.sofifa.org/flags/72@3x.png
Armenia,https://cdn.sofifa.org/flags/3@3x.png
Bosnia Herzegovina,https://cdn.sofifa.org/flags/8@3x.png
Ivory Coast,https://cdn.sofifa.org/flags/108@3x.png
Senegal,https://cdn.sofifa.org/flags/136@3x.png
Serbia,https://cdn.sofifa.org/flags/51@3x.png
Switzerland,https://cdn.sofifa.org/flags/47@3x.png
Morocco,https://cdn.sofifa.org/flags/129@3x.png
Guinea,https://cdn.sofifa.org/flags/118@3x.png
Egypt,https://cdn.sofifa.org/flags/111@3x.png
Algeria,https://cdn.sofifa.org/flags/97@3x.png
Cameroon,https://cdn.sofifa.org/flags/103@3x.png
Japan,https://cdn.sofifa.org/flags/163@3x.png
Turkey,https://cdn.sofifa.org/flags/48@3x.png
Ecuador,https://cdn.sofifa.org/flags/57@3x.png
Montenegro,https://cdn.sofifa.org/flags/15@3x.png
Korea Republic,https://cdn.sofifa.org/flags/167@3x.png
Ukraine,https://cdn.sofifa.org/flags/49@3x.png
Kenya,https://cdn.sofifa.org/flags/120@3x.png
Iceland,https://cdn.sofifa.org/flags/24@3x.png
Mexico,https://cdn.sofifa.org/flags/83@3x.png
Norway,https://cdn.sofifa.org/flags/36@3x.png
DR Congo,https://cdn.sofifa.org/flags/110@3x.png
Russia,https://cdn.sofifa.org/flags/40@3x.png
Finland,https://cdn.sofifa.org/flags/17@3x.png
Republic of Ireland,https://cdn.sofifa.org/flags/25@3x.png
United States,https://cdn.sofifa.org/flags/95@3x.png
Venezuela,https://cdn.sofifa.org/flags/61@3x.png
Ghana,https://cdn.sofifa.org/flags/117@3x.png
Uzbekistan,https://cdn.sofifa.org/flags/191@3x.png
Nigeria,https://cdn.sofifa.org/flags/133@3x.png
